ID	firstID	ResponseID	Lab	Lab1	Instructions	Condition	Age	English	UK	Education	Sex	SocInfo	Familiarity	Believe	ExpectOPP	ExpectSame	RememberTask	BelieveTask	Strategy
107		R_agHQoQGwr9IkPnn	P	2	control	2	5	4	0	1	2	0	3	3	4	3	na	na	2
108		R_0wI5UTT9rUdY2wZ	P	2	control	2	2	4	0	5	2	0	1	3	3	3	na	na	2
109		R_80teaeUOgoS0YAJ	P	2	control	2	5	5	0	2	2	0	1	1	3	2	na	na	2
110		R_77dGbmaw08llxRP	P	2	control	2	2	5	0	3	2	0	1	1	4	4	na	na	2
111		R_3aXWJFTUVUa9wS9	P	2	control	2	5	4	0	5	2	0	1	4	3	1	na	na	2
112		R_265ZTBoDUR897ZX	P	2	control	2	5	4	0	3	2	0	1	1	3	4	na	na	2
113		R_39OxPZnidEBtOw5	P	2	control	2	5	4	0	1	2	0	4	2	4	2	na	na	2
114		R_0TEPTBRd6C0zMu9	P	2	control	2	2	4	0	4	2	0	5	5	1	2	na	na	2
115		R_d56vo38qXQoZzfL	P	2	control	2	2	4	0	2	2	0	4	5	2	2	na	na	2
116		R_4OpSMbkld6QQf1r	P	2	control	2	2	4	0	3	2	0	1	4	4	4	na	na	2
117		R_9zzNtLwolfvPpcN	P	2	control	2	2	4	0	3	2	0	4	5	3	4	na	na	2
118		R_eha5z3Oiyqv2PKB	P	2	control	2	2	4	0	1	2	0	1	3	4	4	na	na	2
119		R_6lBXiL8uY4GFsc5	P	2	control	2	2	4	0	3	2	0	1	3	1	3	na	na	2
120		R_5iQUEWZST0kzmVD	P	2	control	2	2	4	0	3	2	0	1	2	3	3	na	na	2
